transaction_id,amount,transaction_hour,merchant_category,device_type,location,failed_attempts,account_age_days,is_fraud,iqr_anomaly
TXN000001,269.36,9,Entertainment,Android,Bangalore,1,794,0,0
TXN000002,125.72,23,Other,Android,Chennai,1,2009,0,0
TXN000003,322.86,16,Food,Android,Hyderabad,0,2563,0,0
TXN000004,923.01,20,Shopping,Web,Delhi,0,1072,0,1
TXN000005,112.06,1,Entertainment,iOS,Pune,0,816,0,0
TXN000006,112.06,5,Shopping,iOS,Delhi,0,1163,0,0
TXN000007,987.38,4,Shopping,iOS,Mumbai,2,2956,0,1
TXN000008,372.76,3,Travel,iOS,Chennai,0,1660,0,0
TXN000009,84.49,1,Other,Web,Mumbai,0,1026,0,0
TXN000010,284.6,11,Shopping,Android,Delhi,1,2676,0,0
TXN000011,85.11,2,Bills,Android,Delhi,0,2473,0,0
TXN000012,84.87,5,Shopping,iOS,Pune,2,1066,0,0
TXN000013,198.41,23,Entertainment,iOS,Pune,0,371,1,0
TXN000014,14.94,13,Bills,Android,Mumbai,0,736,0,0
TXN000015,18.73,7,Shopping,Android,Hyderabad,1,2665,0,0
TXN000016,75.58,20,Bills,Android,Mumbai,1,1794,1,0
TXN000017,44.02,20,Shopping,Android,Hyderabad,0,1212,0,0
TXN000018,216.39,13,Other,Android,Hyderabad,1,1386,0,0
TXN000019,49.92,2,Bills,Android,Bangalore,0,1076,0,0
TXN000020,27.25,15,Food,iOS,Delhi,0,1050,0,0
TXN000021,861.59,14,Travel,iOS,Bangalore,1,1770,0,1
TXN000022,113.19,6,Bills,iOS,Delhi,0,1891,0,0
TXN000023,160.94,14,Entertainment,iOS,Bangalore,1,2903,0,0
TXN000024,26.85,12,Travel,Android,Hyderabad,1,2272,0,0
TXN000025,77.23,5,Travel,Android,Bangalore,0,740,0,0
TXN000026,169.54,14,Shopping,Android,Chennai,0,1191,0,0
TXN000027,37.29,16,Bills,Web,Bangalore,1,2587,0,0
TXN000028,232.95,3,Other,Android,Pune,1,1276,0,0
TXN000029,72.19,21,Travel,iOS,Pune,0,865,1,0
TXN000030,104.58,21,Entertainment,Android,Bangalore,0,1481,0,0
TXN000031,72.09,13,Other,Web,Bangalore,0,1903,0,0
TXN000032,1370.23,14,Other,Android,Chennai,0,1508,0,1
TXN000033,146.03,11,Entertainment,iOS,Delhi,0,1023,0,0
TXN000034,41.71,18,Entertainment,Android,Bangalore,0,756,0,0
TXN000035,398.24,21,Shopping,Android,Delhi,2,1061,0,0
TXN000036,34.29,9,Food,iOS,Pune,0,1935,0,0
TXN000037,190.69,5,Bills,Web,Mumbai,1,2293,0,0
TXN000038,14.13,8,Travel,Android,Hyderabad,1,313,1,0
TXN000039,30.15,1,Bills,Web,Mumbai,1,1546,0,0
TXN000040,187.96,3,Other,iOS,Chennai,0,468,0,0
TXN000041,360.02,8,Travel,iOS,Chennai,0,1820,0,0
TXN000042,182.3,14,Shopping,Android,Delhi,1,2400,1,0
TXN000043,129.18,12,Bills,Android,Delhi,0,1770,1,0
TXN000044,103.41,19,Shopping,Android,Bangalore,0,1988,1,0
TXN000045,25.17,7,Shopping,Web,Mumbai,0,786,0,0
TXN000046,62.56,18,Bills,Web,Delhi,0,2792,0,0
TXN000047,85.39,18,Bills,iOS,Pune,0,2490,0,0
TXN000048,527.71,15,Travel,Android,Delhi,0,2294,0,0
TXN000049,224.16,10,Other,Android,Pune,0,706,0,0
TXN000050,17.89,9,Other,Web,Delhi,1,2959,0,0
TXN000051,218.96,7,Entertainment,Android,Hyderabad,1,1672,0,0
TXN000052,93.49,0,Shopping,iOS,Delhi,0,1813,0,0
